title,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
The Hustle,"$35,417,038","$95,017,038",United Artists Releasing,"$13,007,709","3,007 theaters","$21,000,000",PG-13,"Comedy,Crime","May 10, 2019"
The Intruder,"$35,419,122","$36,599,361",Screen Gems,"$10,855,054","2,222 theaters","$8,000,000",PG-13,Thriller,"May 3, 2019"
Little Women,"$108,101,214","$216,601,214",Sony Pictures Entertainment (SPE),"$16,755,310","3,308 theaters","$40,000,000",PG,"Drama,Romance","Dec 25, 2019"
Crawl,"$39,014,193","$91,542,097",Paramount Pictures,"$12,005,210","3,170 theaters","$13,500,000",R,"Action,Horror,Thriller","Jul 12, 2019"
The Mule,"$103,804,407","$174,804,407",Warner Bros.,"$17,509,431","2,588 theaters","$50,000,000",R,"Crime,Drama,Thriller","Dec 14, 2018"
Breakthrough,"$40,713,082","$50,444,358",Twentieth Century Fox,"$11,282,333","2,824 theaters","$14,000,000",PG,"Biography,Drama","Apr 17, 2019"
Queen & Slim,"$43,808,310","$47,803,176",Universal Pictures,"$11,890,490","1,690 theaters","$18,000,000",R,"Crime,Drama,Romance","Nov 27, 2019"
Little,"$40,860,481","$48,987,096",Universal Pictures,"$15,405,455","2,667 theaters","$20,000,000",PG-13,"Comedy,Fantasy,Romance","Apr 12, 2019"
The Angry Birds Movie 2,"$41,667,116","$147,792,047",Sony Pictures Entertainment (SPE),"$10,354,073","3,869 theaters","$65,000,000",PG,"Adventure,Animation,Comedy,Family","Aug 13, 2019"
A Dog's Way Home,"$42,004,346","$80,708,134",Sony Pictures Entertainment (SPE),"$11,251,263","3,090 theaters","$18,000,000",PG,"Adventure,Drama,Family","Jan 11, 2019"
Harriet,"$43,082,155","$43,347,017",Focus Features,"$11,676,720","2,059 theaters","$17,000,000",PG-13,"Action,Biography,Drama,History","Nov 1, 2019"
Playing with Fire,"$44,451,847","$68,631,669",Paramount Pictures,"$12,723,781","3,125 theaters","$29,900,000",PG,"Comedy,Family","Nov 8, 2019"
Rambo: Last Blood,"$44,819,352","$91,490,353",Lionsgate,"$18,872,919","3,618 theaters","$50,000,000",R,"Action,Thriller","Sep 20, 2019"
Wonder Park,"$45,216,793","$119,559,110",Paramount Pictures,"$15,853,646","3,838 theaters","$90,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy","Mar 15, 2019"
Five Feet Apart,"$45,729,221","$91,522,094",Lionsgate,"$13,190,286","2,803 theaters","$7,000,000",PG-13,"Drama,Romance","Mar 15, 2019"
Ma,"$45,896,028","$61,105,672",Universal Pictures,"$18,099,805","2,808 theaters","$5,000,000",R,"Horror,Mystery,Thriller","May 31, 2019"
Gemini Man,"$48,546,770","$173,469,516",Paramount Pictures,"$20,552,372","3,642 theaters","$138,000,000",PG-13,"Action,Drama,Sci-Fi,Thriller","Oct 11, 2019"
Isn't It Romantic,"$48,791,187","$48,791,187",Warner Bros.,"$14,247,758","3,444 theaters","$31,000,000",PG-13,"Comedy,Fantasy,Romance","Feb 13, 2019"
Ad Astra,"$50,188,370","$127,461,872",Twentieth Century Fox,"$19,001,398","3,460 theaters","$90,000,000",PG-13,"Adventure,Drama,Mystery,Sci-Fi,Thriller","Sep 20, 2019"
Green Book,"$85,080,171","$321,752,656",Universal Pictures,"$320,429",25 theaters,"$23,000,000",PG-13,"Biography,Comedy,Drama,Music","Nov 16, 2018"
What Men Want,"$54,611,903","$72,216,294",Paramount Pictures,"$18,232,087","2,912 theaters","$20,000,000",R,"Comedy,Fantasy,Romance","Feb 8, 2019"
Pet Sematary,"$54,724,696","$113,118,226",Paramount Pictures,"$24,502,775","3,585 theaters","$21,000,000",R,"Horror,Mystery,Thriller","Apr 5, 2019"
The Curse of la Llorona,"$54,733,739","$123,133,739",Warner Bros.,"$26,347,631","3,372 theaters","$9,000,000",R,"Horror,Mystery,Thriller","Apr 19, 2019"
Bumblebee,"$127,195,589","$467,989,645",Paramount Pictures,"$21,654,047","3,550 theaters","$135,000,000",PG-13,"Action,Adventure,Sci-Fi","Dec 21, 2018"
Midway,"$56,846,802","$126,696,475",Lionsgate,"$17,897,419","3,242 theaters","$100,000,000",PG-13,"Action,Adventure,Drama,History,War","Nov 8, 2019"
A Beautiful Day in the Neighborhood,"$61,704,055","$67,760,877",Sony Pictures Entertainment (SPE),"$13,251,238","3,235 theaters","$25,000,000",PG,"Biography,Drama","Nov 22, 2019"
Escape Room,"$57,005,601","$155,712,077",Sony Pictures Entertainment (SPE),"$18,238,172","2,717 theaters","$9,000,000",PG-13,"Action,Adventure,Horror,Mystery,Thriller","Jan 4, 2019"
Dora and the Lost City of Gold,"$60,477,943","$119,682,635",Paramount Pictures,"$17,431,588","3,735 theaters","$49,000,000",PG,"Adventure,Comedy,Family,Mystery","Aug 9, 2019"
Abominable,"$60,716,390","$179,066,227",Universal Pictures,"$20,612,100","4,242 theaters","$75,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy","Sep 27, 2019"
Terminator: Dark Fate,"$62,253,077","$261,119,292",Paramount Pictures,"$29,033,832","4,086 theaters","$185,000,000",R,"Action,Adventure,Sci-Fi","Nov 1, 2019"
X-Men: Dark Phoenix,"$65,845,974","$252,442,974",Twentieth Century Fox,"$32,828,348","3,721 theaters","$200,000,000",PG-13,"Action,Adventure,Sci-Fi","Jun 7, 2019"
Mary Poppins Returns,"$171,958,438","$349,537,494",Walt Disney Studios Motion Pictures,"$23,523,121","4,090 theaters","$130,000,000",PG,"Comedy,Family,Fantasy,Musical","Dec 19, 2018"
Scary Stories to Tell in the Dark,"$68,947,075","$104,545,505",Lionsgate,"$20,915,346","3,135 theaters","$25,000,000",PG-13,"Adventure,Horror,Mystery","Aug 9, 2019"
Angel Has Fallen,"$69,030,436","$146,661,977",Lionsgate,"$21,380,987","3,286 theaters","$40,000,000",R,"Action,Thriller","Aug 23, 2019"
Zombieland: Double Tap,"$73,123,082","$122,810,399",Sony Pictures Entertainment (SPE),"$26,803,104","3,468 theaters","$42,000,000",R,"Action,Adventure,Comedy,Horror","Oct 18, 2019"
A Madea Family Funeral,"$73,257,045","$74,747,725",Lionsgate,"$27,062,332","2,442 theaters","$20,000,000",PG-13,Comedy,"Mar 1, 2019"
Yesterday,"$73,286,650","$153,178,480",Universal Pictures,"$17,010,050","2,603 theaters","$26,000,000",PG-13,"Comedy,Fantasy,Music,Romance","Jun 28, 2019"
Annabelle Comes Home,"$74,152,591","$231,252,591",Warner Bros.,"$20,269,723","3,613 theaters","$30,000,000",R,"Horror,Mystery,Thriller","Jun 26, 2019"
Men in Black: International,"$80,001,807","$253,890,701",Sony Pictures Entertainment (SPE),"$30,035,838","4,224 theaters","$110,000,000",PG-13,"Action,Adventure,Comedy,Sci-Fi","Jun 14, 2019"
Good Boys,"$83,140,306","$111,037,232",Universal Pictures,"$21,402,605","3,204 theaters","$20,000,000",R,"Adventure,Comedy","Aug 16, 2019"
Shazam!,"$140,371,656","$365,971,656",Warner Bros.,"$53,505,326","4,217 theaters","$100,000,000",PG-13,"Action,Adventure,Comedy,Fantasy","Apr 5, 2019"
Once Upon a Time... In Hollywood,"$142,502,728","$374,343,626",Sony Pictures Entertainment (SPE),"$41,082,018","3,659 theaters","$90,000,000",R,"Comedy,Drama","Jul 26, 2019"
Pokémon Detective Pikachu,"$144,105,346","$433,005,346",Warner Bros.,"$54,365,242","4,202 theaters","$150,000,000",PG,"Action,Adventure,Comedy,Family,Mystery,Sci-Fi","May 10, 2019"
The Secret Life of Pets 2,"$158,874,395","$430,051,293",Universal Pictures,"$46,652,680","4,561 theaters","$80,000,000",PG,"Adventure,Animation,Comedy,Family","Jun 7, 2019"
How to Train Your Dragon: The Hidden World,"$160,799,505","$521,799,505",Universal Pictures,"$55,022,245","4,259 theaters","$129,000,000",PG,"Action,Adventure,Animation,Family,Fantasy","Feb 22, 2019"
John Wick: Chapter 3 - Parabellum,"$171,015,687","$326,709,727",Lionsgate,"$56,818,067","3,850 theaters","$75,000,000",R,"Action,Crime,Thriller","May 17, 2019"
Fast & Furious Presents: Hobbs & Shaw,"$173,956,935","$759,056,935",Universal Pictures,"$60,038,950","4,253 theaters","$200,000,000",N/A,"154,days/22,weeks","Aug 2, 2019"
Us,"$175,084,580","$255,184,580",Universal Pictures,"$71,117,625","3,741 theaters","$20,000,000",R,"Horror,Mystery,Thriller","Mar 22, 2019"
Jumanji: The Next Level,"$320,314,960","$800,059,707",Sony Pictures Entertainment (SPE),"$59,251,543","4,227 theaters","$125,000,000",PG-13,"Action,Adventure,Comedy,Fantasy","Dec 13, 2019"
It Chapter Two,"$211,593,228","$473,093,228",Warner Bros.,"$91,062,152","4,570 theaters","$79,000,000",R,"Drama,Fantasy,Horror","Sep 6, 2019"
Joker,"$335,451,311","$1,074,251,311",Warner Bros.,"$96,202,337","4,374 theaters","$55,000,000",R,"Crime,Drama,Thriller","Oct 4, 2019"
Aladdin,"$355,559,216","$1,050,693,953",Walt Disney Studios Motion Pictures,"$91,500,929","4,476 theaters","$183,000,000",PG,"Adventure,Family,Fantasy,Musical,Romance","May 24, 2019"
Spider-Man: Far from Home,"$390,532,085","$1,131,927,996",Sony Pictures Entertainment (SPE),"$92,579,212","4,634 theaters","$160,000,000",PG-13,"Action,Adventure,Sci-Fi","Jul 2, 2019"
Star Wars: Episode IX - The Rise of Skywalker,"$515,202,542","$1,074,144,248",Walt Disney Studios Motion Pictures,"$177,383,864","4,406 theaters","$275,000,000",PG-13,"Action,Adventure,Fantasy,Sci-Fi","Dec 20, 2019"
Captain Marvel,"$426,829,839","$1,128,274,794",Walt Disney Studios Motion Pictures,"$153,433,423","4,310 theaters","$160,000,000",PG-13,"Action,Adventure,Sci-Fi","Mar 8, 2019"
Frozen II,"$477,373,578","$1,450,026,933",Walt Disney Studios Motion Pictures,"$130,263,358","4,440 theaters","$150,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy,Musical","Nov 22, 2019"
Toy Story 4,"$434,038,008","$1,073,394,593",Walt Disney Studios Motion Pictures,"$120,908,065","4,575 theaters","$200,000,000",G,"Adventure,Animation,Comedy,Family,Fantasy","Jun 21, 2019"
The Lion King,"$543,638,043","$1,656,943,394",Walt Disney Studios Motion Pictures,"$191,770,759","4,725 theaters","$260,000,000",PG,"Adventure,Animation,Drama,Family,Musical","Jul 19, 2019"
